physicalChannelNumber,networkId,networkName,transportStreamId,originalNetworkId,serviceId
151,4,BS Digital,16400,4,151
152,4,BS Digital,16400,4,152
153,4,BS Digital,16400,4,153
161,4,BS Digital,16401,4,161
162,4,BS Digital,16401,4,162
163,4,BS Digital,16401,4,163
191,4,BS Digital,16432,4,191
171,4,BS Digital,16433,4,171
172,4,BS Digital,16433,4,172
173,4,BS Digital,16433,4,173
211,4,BS Digital,16528,4,211
200,4,BS Digital,16529,4,200
222,4,BS Digital,16530,4,222
141,4,BS Digital,16592,4,141
142,4,BS Digital,16592,4,142
143,4,BS Digital,16592,4,143
181,4,BS Digital,16593,4,181
182,4,BS Digital,16593,4,182
183,4,BS Digital,16593,4,183
101,4,BS Digital,16625,4,101
102,4,BS Digital,16625,4,102
103,4,BS Digital,16626,4,103
104,4,BS Digital,16626,4,104
151,4,BS Digital,16400,4,151
152,4,BS Digital,16400,4,152
153,4,BS Digital,16400,4,153
161,4,BS Digital,16401,4,161
162,4,BS Digital,16401,4,162
163,4,BS Digital,16401,4,163
191,4,BS Digital,16432,4,191
171,4,BS Digital,16433,4,171
172,4,BS Digital,16433,4,172
173,4,BS Digital,16433,4,173
181,4,BS Digital,16593,4,181
182,4,BS Digital,16593,4,182
183,4,BS Digital,16593,4,183
101,4,BS Digital,16625,4,101
102,4,BS Digital,16625,4,102
103,4,BS Digital,16626,4,103
104,4,BS Digital,16626,4,104
191,4,BS Digital,16432,4,191
192,4,BS Digital,17488,4,192
193,4,BS Digital,17489,4,193
200,4,BS Digital,16529,4,200
201,4,BS Digital,17520,4,201
202,4,BS Digital,17520,4,202
211,4,BS Digital,16528,4,211
222,4,BS Digital,16530,4,222
202,4,BS Digital,17520,4,202
236,4,BS Digital,18033,4,236
256,4,BS Digital,18034,4,256
238,4,BS Digital,18096,4,238
241,4,BS Digital,18097,4,241
231,4,BS Digital,18098,4,231
232,4,BS Digital,18098,4,232
233,4,BS Digital,18098,4,233
234,4,BS Digital,18224,4,234
236,4,BS Digital,18033,4,236
238,4,BS Digital,18096,4,238
241,4,BS Digital,18097,4,241
234,4,BS Digital,18224,4,234
242,4,BS Digital,18225,4,242
243,4,BS Digital,18226,4,243
252,4,BS Digital,18256,4,252
244,4,BS Digital,18257,4,244
245,4,BS Digital,18258,4,245
251,4,BS Digital,18288,4,251
252,4,BS Digital,18256,4,252
255,4,BS Digital,18289,4,255
256,4,BS Digital,18034,4,256
258,4,BS Digital,18290,4,258
16,32391,東京７,32391,32391,23608
16,32391,東京７,32391,32391,23609
16,32391,東京７,32391,32391,23610
18,32375,神奈川７,32375,32375,24632
18,32375,神奈川７,32375,32375,24633
18,32375,神奈川７,32375,32375,24634
21,32740,関東広域４,32740,32740,1056
21,32740,関東広域４,32740,32740,1057
21,32740,関東広域４,32740,32740,1058
22,32739,関東広域３,32739,32739,1048
22,32739,関東広域３,32739,32739,1049
23,32742,関東広域６,32742,32742,1072
23,32742,関東広域６,32742,32742,1073
23,32742,関東広域６,32742,32742,1074
256,4,BS Digital,18034,4,256
252,4,BS Digital,18256,4,252
251,4,BS Digital,18288,4,251
255,4,BS Digital,18289,4,255
256,4,BS Digital,18034,4,256
258,4,BS Digital,18290,4,258
24,32741,関東広域５,32741,32741,1064
24,32741,関東広域５,32741,32741,1065
24,32741,関東広域５,32741,32741,1066
25,32738,関東広域２,32738,32738,1040
25,32738,関東広域２,32738,32738,1041
26,32737,関東広域１,32737,32737,1032
26,32737,関東広域１,32737,32737,1033
26,32737,関東広域１,32737,32737,1034
27,32736,関東広域０,32736,32736,1024
27,32736,関東広域０,32736,32736,1025
28,32744,関東広域８,32744,32744,1088
28,32744,関東広域８,32744,32744,1089
28,32744,関東広域８,32744,32744,1090
30,32327,千葉７,32327,32327,27704
30,32327,千葉７,32327,32327,27705
32,32295,テレビ埼玉,32295,32295,29752
32,32295,テレビ埼玉,32295,32295,29753
32,32295,テレビ埼玉,32295,32295,29754
